epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7768,1.14492,3.41068,1.40583,0.41705,0.51464,0.50392,0.40623,0.76615,2.10204,1.0323,0.000109832,0.000109832,0.000109832
2,63.4042,0.89631,2.19385,1.202,0.6321,0.64346,0.6891,0.5682,0.76286,1.63178,1.02408,0.000216459,0.000216459,0.000216459
3,93.1115,0.88544,1.87331,1.18146,0.60532,0.70497,0.76365,0.6149,0.82258,1.37348,1.04383,0.000318691,0.000318691,0.000318691
4,122.326,0.86809,1.68285,1.17412,0.6408,0.76897,0.84103,0.68011,0.77577,1.12197,1.04666,0.00031322,0.00031322,0.00031322
5,152.07,0.83927,1.51247,1.14016,0.89761,0.71795,0.88647,0.70561,0.87174,0.9216,1.06722,0.000306626,0.000306626,0.000306626
6,181.691,0.81305,1.34118,1.12347,0.79315,0.81373,0.90998,0.71128,0.9581,0.92371,1.09982,0.000300033,0.000300033,0.000300033
7,210.871,0.80965,1.32054,1.12468,0.72157,0.85825,0.8889,0.69039,0.92734,1.1305,1.10686,0.00029344,0.00029344,0.00029344
8,240.657,0.78687,1.19664,1.11131,0.79974,0.87854,0.92244,0.74046,0.87127,0.79864,1.09157,0.000286846,0.000286846,0.000286846
9,270.101,0.79223,1.10452,1.10982,0.77626,0.91477,0.92146,0.7546,0.79741,0.71071,1.01925,0.000280253,0.000280253,0.000280253
10,299.553,0.76366,1.10062,1.10188,0.83211,0.8732,0.90783,0.71427,0.92754,0.79406,1.09235,0.000273659,0.000273659,0.000273659
11,328.99,0.76831,1.05429,1.09628,0.88249,0.88903,0.9498,0.76868,0.8543,0.62985,1.04138,0.000267066,0.000267066,0.000267066
12,358.36,0.7504,0.99402,1.08711,0.84461,0.89475,0.94692,0.74082,0.91858,0.64756,1.09491,0.000260473,0.000260473,0.000260473
13,387.582,0.73186,0.95317,1.08036,0.88662,0.85033,0.91949,0.76348,0.75198,0.7071,1.00059,0.000253879,0.000253879,0.000253879
14,416.845,0.72356,0.93747,1.07707,0.83098,0.88845,0.91912,0.75304,0.81007,0.74049,1.01268,0.000247286,0.000247286,0.000247286
15,446.928,0.70221,0.88807,1.06262,0.91047,0.87501,0.93581,0.759,0.84377,0.63101,1.05092,0.000240692,0.000240692,0.000240692
16,476.874,0.70332,0.85961,1.05788,0.8892,0.88095,0.93429,0.75895,0.88072,0.62195,1.06605,0.000234099,0.000234099,0.000234099
17,507.799,0.68389,0.86403,1.05223,0.83792,0.87182,0.95264,0.7891,0.78262,0.63118,0.99254,0.000227506,0.000227506,0.000227506
18,539.062,0.71062,0.8404,1.06227,0.91688,0.86738,0.93909,0.77396,0.79888,0.61405,1.02452,0.000220912,0.000220912,0.000220912
19,569.426,0.66227,0.78185,1.04569,0.8932,0.86778,0.93195,0.75217,0.8532,0.65605,1.0471,0.000214319,0.000214319,0.000214319
20,598.826,0.67889,0.78222,1.04665,0.83368,0.87119,0.93668,0.76565,0.8077,0.62127,1.03269,0.000207725,0.000207725,0.000207725
21,628.432,0.67171,0.77179,1.04279,0.88644,0.86646,0.94772,0.79791,0.7721,0.60256,1.00615,0.000201132,0.000201132,0.000201132
22,658.328,0.66287,0.72915,1.04156,0.9343,0.89199,0.9534,0.78833,0.82388,0.53745,1.02141,0.000194539,0.000194539,0.000194539
23,687.898,0.66913,0.72611,1.0372,0.93464,0.87284,0.95326,0.75362,0.92398,0.53316,1.07229,0.000187945,0.000187945,0.000187945
24,717.5,0.65666,0.71828,1.04273,0.93657,0.91099,0.9619,0.77643,0.90243,0.5286,1.06434,0.000181352,0.000181352,0.000181352
25,747.121,0.64633,0.69529,1.02649,0.9391,0.88986,0.95479,0.76952,0.90428,0.54871,1.0717,0.000174758,0.000174758,0.000174758
26,776.691,0.6453,0.68715,1.03005,0.91411,0.89656,0.95482,0.78407,0.80751,0.50804,1.01158,0.000168165,0.000168165,0.000168165
